@relation	SonyAIBORobotSurface_TRAIN
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	class	{1,2}
@data
0.9936358300,2.2737801000,2.9138523000,2.2737801000,1.6337080000,0.1402062900,-0.7132232500,-1.1399380000,-0.9265806300,-0.4998658600,-0.9265806300,-1.5666528000,-1.7800102000,-1.9933676000,-2.2067256000,-1.7800102000,-1.3532954000,-0.7132232500,-0.4998658600,-0.2865084800,0.3535636700,0.3535636700,0.7802784400,0.7802784400,0.7802784400,0.5669210600,0.5669210600,0.3535636700,0.5669210600,0.5669210600,0.5669210600,0.3535636700,0.3535636700,0.1402062900,0.1402062900,0.3535636700,0.1402062900,0.3535636700,0.5669210600,0.7802784400,0.7802784400,1.2069932000,1.4203506000,1.4203506000,0.3535636700,-0.2865084800,-0.7132232500,-0.9265806300,-0.9265806300,-0.7132232500,-0.7132232500,-1.1399380000,-1.5666528000,-1.3532954000,-1.1399380000,-0.4998658600,0.1402062900,0.1402062900,0.1402062900,0.1402062900,0.1402062900,0.3535636700,0.3535636700,0.1402062900,-0.0731510940,-0.0731510940,-0.0731510940,0.1402062900,0.1402062900,-0.0731510940,2
-0.0607754750,-0.3443943600,1.9245567000,3.6262700000,1.9245567000,0.5064622900,-0.6280132400,-1.1952510000,-0.9116321200,0.2228434100,1.3573189000,0.5064622900,-1.1952510000,-2.3297265000,-2.0461076000,-0.9116321200,-0.3443943600,-0.3443943600,-0.9116321200,-0.9116321200,-0.3443943600,0.2228434100,0.2228434100,0.5064622900,0.7900811700,0.7900811700,0.7900811700,0.7900811700,0.7900811700,0.7900811700,1.0737001000,0.7900811700,0.5064622900,0.2228434100,0.2228434100,0.2228434100,0.2228434100,-0.0607754750,0.7900811700,1.0737001000,0.7900811700,0.5064622900,0.2228434100,0.2228434100,-0.3443943600,-1.1952510000,-2.0461076000,-1.4788699000,-0.3443943600,0.5064622900,0.2228434100,-1.1952510000,-2.0461076000,-1.7624888000,-1.1952510000,-0.3443943600,0.5064622900,0.7900811700,0.5064622900,0.2228434100,-0.0607754750,-0.0607754750,-0.0607754750,-0.3443943600,-0.3443943600,-0.0607754750,0.2228434100,0.2228434100,-0.0607754750,-0.3443943600,1
0.6116450900,1.3173894000,2.0231338000,2.2583819000,2.0231338000,1.7878857000,0.3763969800,-0.7998435800,-1.5055879000,-1.9760841000,-1.2703398000,-0.7998435800,-1.2703398000,-1.5055879000,-1.9760841000,-1.5055879000,-1.0350917000,-0.7998435800,-0.3293473600,-0.3293473600,0.1411488700,0.3763969800,0.6116450900,0.8468932100,0.6116450900,0.6116450900,0.3763969800,0.3763969800,0.1411488700,0.1411488700,0.1411488700,0.1411488700,0.1411488700,0.3763969800,0.1411488700,0.1411488700,0.1411488700,0.6116450900,1.0821413000,1.3173894000,0.3763969800,0.3763969800,1.5526375000,2.0231338000,1.5526375000,0.1411488700,-0.5645954700,-1.2703398000,-1.5055879000,-0.7998435800,-0.0940992450,-0.0940992450,-0.7998435800,-1.5055879000,-1.7408360000,-1.0350917000,-0.0940992450,0.6116450900,0.6116450900,0.3763969800,0.3763969800,0.1411488700,0.1411488700,-0.0940992450,-0.3293473600,-0.5645954700,-0.5645954700,-0.5645954700,-0.3293473600,-0.0940992450,2
0.6444971300,1.2037715000,1.9494706000,2.1358954000,2.1358954000,1.3901963000,0.4580723400,-0.6604763800,-1.2197507000,-1.4061755000,-1.2197507000,-0.8469011700,-0.8469011700,-1.4061755000,-1.7790251000,-1.5926003000,-1.2197507000,-0.8469011700,-0.4740515900,-0.4740515900,-0.2876268100,0.0852227670,0.2716475500,0.4580723400,0.4580723400,0.4580723400,0.4580723400,0.4580723400,0.2716475500,0.0852227670,0.0852227670,0.0852227670,0.0852227670,0.2716475500,0.0852227670,0.0852227670,0.0852227670,0.6444971300,1.0173467000,1.3901963000,1.2037715000,1.2037715000,1.7630458000,2.1358954000,1.7630458000,0.6444971300,-0.1012020200,-0.6604763800,-1.2197507000,-1.2197507000,-0.6604763800,-0.6604763800,-1.4061755000,-1.9654504000,-1.7790251000,-1.4061755000,-0.4740515900,0.0852227670,0.4580723400,0.2716475500,-0.2876268100,-0.1012020200,0.0852227670,0.2716475500,0.0852227670,-0.1012020200,-0.1012020200,-0.1012020200,-0.1012020200,-0.1012020200,2
0.8053035800,1.4247679000,1.2182798000,1.8377441000,1.4247679000,0.5988154900,-0.6401130900,-0.8466011800,-0.8466011800,-0.4336249900,-0.4336249900,-1.2595774000,-1.8790417000,-2.2920185000,-2.0855298000,-1.0530893000,-0.6401130900,-0.8466011800,-0.8466011800,-0.2271369000,0.3923273900,0.8053035800,0.3923273900,0.1858392900,-0.0206488010,-0.0206488010,0.1858392900,0.3923273900,0.3923273900,-0.0206488010,-0.0206488010,-0.0206488010,-0.0206488010,0.3923273900,0.3923273900,0.3923273900,0.5988154900,0.8053035800,0.5988154900,0.5988154900,0.1858392900,-0.0206488010,0.1858392900,1.8377441000,2.4572084000,1.4247679000,0.3923273900,-1.2595774000,-1.2595774000,-0.4336249900,0.1858392900,-0.2271369000,-1.2595774000,-2.0855298000,-2.0855298000,-1.8790417000,-1.0530893000,-0.4336249900,-0.2271369000,-0.2271369000,-0.0206488010,0.3923273900,1.0117917000,1.0117917000,1.0117917000,1.0117917000,0.5988154900,0.5988154900,0.3923273900,0.3923273900,1
1.2042185000,2.5392119000,2.5392119000,2.3484985000,1.9670719000,1.0135052000,-0.3214882000,-1.0843416000,-1.4657682000,-1.4657682000,-1.0843416000,-1.2750549000,-1.2750549000,-1.2750549000,-1.2750549000,-1.2750549000,-1.0843416000,-0.8936282100,-0.5122015400,-0.3214882000,-0.1307748600,0.4413651500,0.4413651500,0.2506518200,0.0599384780,0.4413651500,0.4413651500,0.2506518200,0.2506518200,0.2506518200,0.4413651500,0.4413651500,0.4413651500,0.2506518200,0.2506518200,-0.1307748600,0.4413651500,1.0135052000,1.0135052000,1.0135052000,1.2042185000,1.3949318000,1.5856452000,1.2042185000,0.2506518200,-0.3214882000,-0.7029148800,-1.0843416000,-1.2750549000,-0.7029148800,-0.5122015400,-1.0843416000,-1.6564816000,-1.8471949000,-1.4657682000,-0.7029148800,0.0599384780,0.2506518200,0.2506518200,0.0599384780,0.0599384780,0.2506518200,0.2506518200,0.0599384780,-0.3214882000,-0.1307748600,-0.1307748600,0.0599384780,0.0599384780,0.0599384780,2
1.1820973000,2.0395771000,2.0395771000,1.8252072000,0.9677272800,-0.1041225600,-0.7472324600,-1.3903424000,-1.6047123000,-1.1759724000,-0.9616024300,-1.1759724000,-1.6047123000,-1.8190823000,-1.8190823000,-1.3903424000,-0.9616024300,-0.9616024300,-0.7472324600,-0.3184925200,0.1102474100,0.3246173800,0.5389873500,0.3246173800,0.3246173800,0.3246173800,0.5389873500,0.3246173800,0.1102474100,0.1102474100,0.3246173800,0.3246173800,0.3246173800,-0.1041225600,-0.1041225600,-0.1041225600,0.3246173800,0.9677272800,1.1820973000,0.7533573200,1.1820973000,1.8252072000,2.0395771000,1.3964672000,-0.1041225600,-0.3184925200,-1.1759724000,-1.1759724000,-0.9616024300,-0.5328624900,0.3246173800,-0.5328624900,-1.6047123000,-2.0334523000,-1.6047123000,-0.5328624900,0.3246173800,0.5389873500,0.5389873500,0.5389873500,0.7533573200,0.7533573200,0.5389873500,0.3246173800,-0.1041225600,-0.1041225600,0.1102474100,0.3246173800,0.5389873500,0.5389873500,2
1.3423609000,2.0665632000,2.0665632000,2.0665632000,0.9802596600,0.2560572900,-0.6491956900,-1.1923475000,-1.3733981000,-1.3733981000,-1.0112969000,-1.0112969000,-1.5544487000,-1.9165504000,-1.9165504000,-1.5544487000,-1.1923475000,-0.8302462800,-0.6491956900,-0.2870945000,-0.1060439000,0.2560572900,0.4371078800,0.4371078800,0.4371078800,0.4371078800,0.4371078800,0.2560572900,0.2560572900,0.2560572900,0.2560572900,-0.1060439000,0.0750066900,0.2560572900,0.0750066900,-0.1060439000,0.0750066900,0.2560572900,0.6181584700,0.9802596600,1.5234114000,2.0665632000,1.8855126000,1.1613103000,-0.1060439000,-0.6491956900,-1.0112969000,-1.1923475000,-1.3733981000,-1.0112969000,-0.4681450900,-0.8302462800,-1.3733981000,-1.7354993000,-1.0112969000,-0.4681450900,0.2560572900,0.6181584700,0.4371078800,0.4371078800,0.4371078800,0.6181584700,0.6181584700,0.4371078800,0.4371078800,0.2560572900,0.2560572900,0.4371078800,0.7992090700,0.7992090700,2
0.9305386900,1.6938712000,2.4572037000,2.4572037000,1.1849829000,-0.0872380020,-1.1050147000,-1.3594589000,-1.6139030000,-0.8505705200,-0.5961263500,-1.1050147000,-1.6139030000,-1.8683472000,-1.3594589000,-1.1050147000,-0.8505705200,-0.8505705200,-0.8505705200,-0.5961263500,-0.0872380020,0.1672061700,0.4216503400,0.6760945200,0.6760945200,0.6760945200,0.6760945200,0.6760945200,0.4216503400,0.1672061700,0.4216503400,0.1672061700,0.1672061700,0.1672061700,-0.0872380020,0.1672061700,0.1672061700,0.1672061700,-0.3416821700,0.1672061700,1.1849829000,1.9483154000,2.4572037000,1.4394270000,0.1672061700,-0.5961263500,-1.1050147000,-0.8505705200,-0.5961263500,-0.0872380020,-0.0872380020,-1.1050147000,-1.8683472000,-1.8683472000,-1.3594589000,-0.3416821700,0.4216503400,0.4216503400,-0.0872380020,0.1672061700,0.4216503400,0.9305386900,0.6760945200,0.6760945200,0.4216503400,0.1672061700,0.1672061700,0.1672061700,-0.3416821700,-0.0872380020,2
-0.3381343100,0.0151403420,1.0749643000,1.7815136000,1.0749643000,0.0151403420,-1.0446836000,-2.1045075000,-1.3979582000,-0.3381343100,1.0749643000,0.3684149900,-0.6914089500,-1.7512329000,-1.7512329000,-1.0446836000,-0.3381343100,-0.3381343100,0.3684149900,0.3684149900,0.7216896400,1.0749643000,0.7216896400,1.4282389000,1.0749643000,1.0749643000,0.7216896400,0.7216896400,0.3684149900,0.3684149900,0.3684149900,0.0151403420,0.0151403420,-0.3381343100,-0.3381343100,-0.3381343100,0.0151403420,-0.3381343100,-0.3381343100,0.3684149900,0.7216896400,1.0749643000,1.0749643000,-1.0446836000,-1.0446836000,0.0151403420,0.3684149900,0.7216896400,-0.3381343100,-2.1045075000,-1.7512329000,-1.7512329000,-2.4577822000,-2.1045075000,-0.6914089500,0.7216896400,1.7815136000,2.1347882000,1.0749643000,0.0151403420,-0.3381343100,-0.3381343100,0.0151403420,0.0151403420,0.3684149900,0.3684149900,0.3684149900,0.3684149900,0.3684149900,0.0151403420,1
